number,safe_repo,repo_name,archive,repo_id,technology,path
371,parsifal-m/backstage-opa-plugins,parsifal-m/backstage-opa-plugins,Parsifal-M-backstage-opa-plugins.tar.gz,606474191.0,opa,policies/catalog.rego
372,magda-io/magda,magda-io/magda,magda-io-magda.tar.gz,66343967.0,opa,magda-opa/policies/system/echo.rego
373,deploykf/deploykf,deploykf/deploykf,deployKF-deployKF.tar.gz,614078982.0,kyverno,generator/templates/manifests/kubeflow-tools/pipelines/resources/clone-bucket-secret-clusterpolicy.yaml
374,auricom/home-ops,auricom/home-ops,auricom-home-ops.tar.gz,314181082.0,kyverno,kubernetes/apps/kyverno/kyverno/policies/volsync-movers.yaml
375,prancer-io/prancer-hello-world,prancer-io/prancer-hello-world,prancer-io-prancer-hello-world.tar.gz,265148374.0,opa,validation/scenario-multiple-yaml/samp.rego
376,meshcloud/collie-hub,meshcloud/collie-hub,meshcloud-collie-hub.tar.gz,490416297.0,azure,kit/azure/landingzones/corp-online/lib/corp/policy_definitions/policy_definition_es_deny_private_dns_zones.json
377,openmpdk/dss-minio,openmpdk/dss-minio,OpenMPDK-dss-minio.tar.gz,465173638.0,opa,docs/sts/putobject.rego
378,nuts-foundation/nuts-workshops,nuts-foundation/nuts-workshops,nuts-foundation-nuts-workshops.tar.gz,160206718.0,opa,deployments/api-gateway/apisix/opa_policies/geboortezorg.rego
379,dod-platform-one/gatekeeper,dod-platform-one/gatekeeper,DoD-Platform-One-Gatekeeper.tar.gz,696977286.0,opa,chart/templates/constraints/restrictedTaint.yaml
380,pagopa/eng-azure-governance,pagopa/eng-azure-governance,pagopa-eng-azure-governance.tar.gz,456850243.0,opa,src/02_policy_kubernetes/policy_rules/required_image_sha256_gatekeeper.yaml
381,vikaspogu/openshift-multicluster,vikaspogu/openshift-multicluster,Vikaspogu-openshift-multicluster.tar.gz,506817262.0,kyverno,components/kyverno-policy-config/namespace-config-vault-access/03_kube-auth-engine-config.yaml
382,anderseknert/opal,anderseknert/opal,anderseknert-opal.tar.gz,304718789.0,opa,lib/math.rego
383,chen-keinan/mesh-kridik,chen-keinan/mesh-kridik,chen-keinan-mesh-kridik.tar.gz,413327567.0,opa,internal/security/mesh/istio/istio_using_3rd_party_tokens.rego
384,alibaba/sreworks,alibaba/sreworks,alibaba-SREWorks.tar.gz,470487478.0,kyverno,chart/sreworks-chart/charts/appmanagerbase/charts/openebs/templates/kyverno/allow-host-ports.yaml
385,microsoft/fabric-toolbox,microsoft/fabric-toolbox,microsoft-fabric-toolbox.tar.gz,656801299.0,azure,samples/azure-policy/pause-capacity-policy/pause-capacity-policy.json
386,dmwm/cmskubernetes,dmwm/cmskubernetes,dmwm-CMSKubernetes.tar.gz,123613440.0,opa,helm/opapolicies/charts/requiredprobes/templates/requiredprobes-constraint.yaml
387,aws-cloudformation/rain,aws-cloudformation/rain,aws-cloudformation-rain.tar.gz,185874127.0,cloudformation-guard,internal/cmd/build/tmpl/scripts/rules.guard
388,azure/terraform-azurerm-caf-enterprise-scale,azure/terraform-azurerm-caf-enterprise-scale,Azure-terraform-azurerm-caf-enterprise-scale.tar.gz,298040750.0,azure,modules/archetypes/lib/policy_definitions/policy_definition_es_deny_azfw_without_policy.json
389,defenseunicorns/lula,defenseunicorns/lula,defenseunicorns-lula.tar.gz,530354374.0,kyverno,demo/simple/oscal-component-kyverno.yaml
390,adhar-io/adhar,adhar-io/adhar,adhar-io-adhar.tar.gz,713137530.0,kyverno,platform/policies/security/require-run-as-nonroot.yaml
391,solo-io/hoot,solo-io/hoot,solo-io-hoot.tar.gz,307173863.0,opa,07-intro-to-opa/query.rego
392,prefapp/daggerverse,prefapp/daggerverse,prefapp-daggerverse.tar.gz,775972909.0,opa,opa/fixtures/.firestartr/validations/policies/soups-app.rego
393,open-policy-agent/frameworks,open-policy-agent/frameworks,open-policy-agent-frameworks.tar.gz,173843668.0,opa,constraint/config/samples/templates_v1alpha1_constrainttemplate.yaml
394,jostrm/azure-enterprise-scale-ml,jostrm/azure-enterprise-scale-ml,jostrm-azure-enterprise-scale-ml.tar.gz,354982755.0,azure,environment_setup/aifactory/bicep/esml-util/policy/Deny-Private-DNS-Zones.json
395,novamachina/home-ops,novamachina/home-ops,NovaMachina-home-ops.tar.gz,843618674.0,kyverno,kubernetes/apps/kyverno/kyverno/policies/ingress-authentik-annotations.yaml
396,cheriot-platform/network-stack,cheriot-platform/network-stack,CHERIoT-Platform-network-stack.tar.gz,731279129.0,opa,network_stack.rego
397,packtpublishing/kubernetes-an-enterprise-guide-third-edition,packtpublishing/kubernetes-an-enterprise-guide-third-edition,PacktPublishing-Kubernetes-An-Enterprise-Guide-Third-Edition.tar.gz,650449161.0,opa,chapter11/defaultUser/addDefaultUser.yaml
398,intelops/policyhub,intelops/policyhub,intelops-policyhub.tar.gz,734656199.0,opa,genval/defaultpolicies/rego/infrafile_policies/k8s/deny_priviliged/deny_priviliged.rego
399,alexrogalskiy/charts,alexrogalskiy/charts,AlexRogalskiy-charts.tar.gz,337395887.0,opa,policy/deny.rego
400,cbc02009/k8s-home-ops,cbc02009/k8s-home-ops,cbc02009-k8s-home-ops.tar.gz,516091372.0,kyverno,.archive/kyverno/kyverno/policies/ingress-cert-manager-annotations.yaml
401,azure/azure-policy,azure/azure-policy,Azure-azure-policy.tar.gz,98492017.0,azure,samples/Compute/audit-classic-VM/azurepolicy.json
402,socialgouv/infra-apps,socialgouv/infra-apps,SocialGouv-infra-apps.tar.gz,824555176.0,kyverno,startups/enfants-du-spectacle/raw/clusters/ovh-prod/backup-uploads.policy.yaml
403,dod-platform-one/kyverno-policies,dod-platform-one/kyverno-policies,DoD-Platform-One-Kyverno-Policies.tar.gz,696977432.0,kyverno,chart/templates/restrict-external-names.yaml
