repo_name,archive_name,repo_id,path,ref,size,technology,id
cisagov/ScubaGear,cisagov-ScubaGear.tar.gz,516451110.0,PowerShell/ScubaGear/Rego/PowerPlatformConfig.rego,62202709b63d425fcb8ac7c79dcd5ff0f0e5d8a7,10950.0,opa,516451110.0
sighupio/container-signature-enforcer,sighupio-container-signature-enforcer.tar.gz,263376335.0,deployments/helm/opa-notary-connector/opa-config/minio.rego,c817b36c28eed2fabda5b3e236246c2846734978,178.0,opa,263376335.0
sighupio/container-signature-enforcer,sighupio-container-signature-enforcer.tar.gz,263376335.0,deployments/helm/opa-notary-connector/opa-config/config.rego,c817b36c28eed2fabda5b3e236246c2846734978,3449.0,opa,263376335.0
sighupio/container-signature-enforcer,sighupio-container-signature-enforcer.tar.gz,263376335.0,deployments/helm/opa-notary-connector/opa-config/minio_mocks.rego,c817b36c28eed2fabda5b3e236246c2846734978,9967.0,opa,263376335.0
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665.0,workload/policies/zeroTrust/policyDefinitions/policy-definition-es-vm-disk-zero-trust.json,331f37827a65dda8150a13ae0e0e37de2de03f07,1551.0,azure,447256665.0
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665.0,workload/policies/monitoring/policyDefinitions/policy-definition-es-deploy-diagnostics-avd-scaling-plan.json,331f37827a65dda8150a13ae0e0e37de2de03f07,5630.0,azure,447256665.0
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665.0,workload/policies/monitoring/policyDefinitions/policy-definition-es-deploy-diagnostics-virtual-machine.json,331f37827a65dda8150a13ae0e0e37de2de03f07,5847.0,azure,447256665.0
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665.0,workload/policies/monitoring/policyDefinitions/policy-definition-es-deploy-diagnostics-avd-workspace.json,331f37827a65dda8150a13ae0e0e37de2de03f07,6142.0,azure,447256665.0
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665.0,workload/policies/gpu/policyDefinitions/policy-definition-es-deploy-nvidia-gpu-driver.json,331f37827a65dda8150a13ae0e0e37de2de03f07,5974.0,azure,447256665.0
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665.0,workload/policies/monitoring/policyDefinitions/policy-definition-es-deploy-diagnostics-azure-files.json,331f37827a65dda8150a13ae0e0e37de2de03f07,7058.0,azure,447256665.0
Azure/avdaccelerator,Azure-avdaccelerator.tar.gz,447256665.0,workload/policies/monitoring/policyDefinitions/policy-definition-es-deploy-diagnostics-avd-host-pool.json,331f37827a65dda8150a13ae0e0e37de2de03f07,7086.0,azure,447256665.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/pss-baseline-v2022/host-namespaces-hostnetwork.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1920.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/asm-policy-v0.0.1/1.3.1_asm-peer-authn-mesh-strict-mtls.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1876.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8sblockendpointeditdefaultrole.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1809.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8sreplicalimits.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1978.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/asm-policy-v0.0.1/1.1.1_asm-ingressgateway-label.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1871.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8srestrictnfsurls.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1470.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8spspwindowshostprocess.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1709.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8snoenvvarsecrets.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1355.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/asmsidecarinjection.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1723.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/allowedserviceportname.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1172.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8sexternalips.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,1268.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/asm-policy-v0.0.1/1.2.2_asm-authz-policy-normalization.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2001.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/pss-baseline-v2022/host-ports.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2021.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/psp-v2022/psp-host-filesystem.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2243.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8srequiredprobes.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2304.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/verifydeprecatedapi.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2566.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8spspprivilegedcontainer.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,3042.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/bundles/psp-v2022/psp-proc-mount.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2144.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/k8shttpsonly.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2669.0,gatekeeper,735437748.0
pluralsh/bootstrap,pluralsh-bootstrap.tar.gz,735437748.0,resources/policy/constraints/gkespotvmterminationgrace.yaml,9c38b589c9195e32cb62d8a86779ccee5d13801f,2563.0,gatekeeper,735437748.0
