,repo_id,path,ref,size,technology,id
6552,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1309.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1083,azure,98492017
6553,221338252,Scripts/Test/effect-wrong-parameter-name.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,1030,azure,221338252
6554,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1367.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1056,azure,98492017
6555,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1577.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1060,azure,98492017
6556,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1161.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1038,azure,98492017
6557,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1848.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1034,azure,98492017
6558,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1752.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1028,azure,98492017
6559,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1148.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1061,azure,98492017
6560,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1488.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1036,azure,98492017
6561,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1727.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1029,azure,98492017
6562,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1117.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1063,azure,98492017
6563,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1366.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1040,azure,98492017
6564,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1449.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1047,azure,98492017
6565,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1639.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1080,azure,98492017
6566,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1849.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1034,azure,98492017
6567,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1470.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1034,azure,98492017
6568,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1704.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1040,azure,98492017
6569,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1579.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1062,azure,98492017
6570,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1017.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1032,azure,98492017
6571,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1197.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1069,azure,98492017
6572,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1217.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1041,azure,98492017
6573,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1307.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1107,azure,98492017
6574,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1350.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1104,azure,98492017
6575,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1242.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1042,azure,98492017
6576,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1803.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1053,azure,98492017
6577,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1200.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1028,azure,98492017
6578,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1569.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1031,azure,98492017
6579,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1075.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1084,azure,98492017
