repo_name,archive_name
YvosOnTheHub/LabNetApp,YvosOnTheHub-LabNetApp.tar.gz
AlexRogalskiy/spark-patterns,AlexRogalskiy-spark-patterns.tar.gz
kubescape/regolibrary,kubescape-regolibrary.tar.gz
kasmtech/workspaces-core-images,kasmtech-workspaces-core-images.tar.gz
CanDIG/candig-opa,CanDIG-candig-opa.tar.gz
tparker00/home-ops,tparker00-home-ops.tar.gz
Azure/Azure-Network-Security,Azure-Azure-Network-Security.tar.gz
Azure/azure-powershell,Azure-azure-powershell.tar.gz
EnterpriseDB/edb-terraform,EnterpriseDB-edb-terraform.tar.gz
GoogleCloudPlatform/notebooks-blueprint-security,GoogleCloudPlatform-notebooks-blueprint-security.tar.gz
khulnasoft-lab/starboard,khulnasoft-lab-starboard.tar.gz
cmacrae/helm-charts,cmacrae-helm-charts.tar.gz
jtroberts83/Cloud-Custodian,jtroberts83-Cloud-Custodian.tar.gz
anokfireball/homelab-as-code,anokfireball-homelab-as-code.tar.gz
krnese/AzureDeploy,krnese-AzureDeploy.tar.gz
Azure/draft,Azure-draft.tar.gz
mpapenbr/iracelog-service-manager-go,mpapenbr-iracelog-service-manager-go.tar.gz
Azure/ausgovcaf-cloudsoe,Azure-ausgovcaf-cloudsoe.tar.gz
Azure/CanadaPubSecALZ,Azure-CanadaPubSecALZ.tar.gz
boxp/arch,boxp-arch.tar.gz
fingerprintjs/fingerprint-pro-cloudfront-integration,fingerprintjs-fingerprint-pro-cloudfront-integration.tar.gz
bridgecrewio/checkov,bridgecrewio-checkov.tar.gz
microsoft/Docker-Provider,microsoft-Docker-Provider.tar.gz
DODAS-TS/opa-bundles,DODAS-TS-opa-bundles.tar.gz
sighupio/module-policy,sighupio-module-policy.tar.gz
carbonetes/brainiac,carbonetes-brainiac.tar.gz
jr0dd/home-ops,jr0dd-home-ops.tar.gz
Azure/azure-monitor-baseline-alerts,Azure-azure-monitor-baseline-alerts.tar.gz
JamesWoolfenden/terraform-aws-dax,JamesWoolfenden-terraform-aws-dax.tar.gz
deckhouse/deckhouse,deckhouse-deckhouse.tar.gz
elastisys/compliantkubernetes-kubespray,elastisys-compliantkubernetes-kubespray.tar.gz
litmuschaos/chaos-charts,litmuschaos-chaos-charts.tar.gz
Azure/azure-blueprints,Azure-azure-blueprints.tar.gz
gnunn-gitops/cluster-config,gnunn-gitops-cluster-config.tar.gz
PacktPublishing/Kubernetes-and-Docker-The-Complete-Guide,PacktPublishing-Kubernetes-and-Docker-The-Complete-Guide.tar.gz
GoogleCloudPlatform/pubsec-declarative-toolkit,GoogleCloudPlatform-pubsec-declarative-toolkit.tar.gz
ishioni/homelab-ops,ishioni-homelab-ops.tar.gz
portefaix/portefaix-kubernetes,portefaix-portefaix-kubernetes.tar.gz
brunostjohn/homelab,brunostjohn-homelab.tar.gz
mchmarny/s3cme,mchmarny-s3cme.tar.gz
askmeegs/build-a-platform-with-krm,askmeegs-build-a-platform-with-krm.tar.gz
saltbo/zpan,saltbo-zpan.tar.gz
jaehyeon-kim/kafka-pocs,jaehyeon-kim-kafka-pocs.tar.gz
open-telemetry/weaver,open-telemetry-weaver.tar.gz
testifysec/archivista-data-provider,testifysec-archivista-data-provider.tar.gz
XgridInc/xc3,XgridInc-xc3.tar.gz
boostsecurityio/poutine,boostsecurityio-poutine.tar.gz
Azure/Azure-Landing-Zones-Library,Azure-Azure-Landing-Zones-Library.tar.gz
NorskHelsenett/ror,NorskHelsenett-ror.tar.gz
intelops/genval,intelops-genval.tar.gz
cert-manager/website,cert-manager-website.tar.gz
hmcts/cpp-module-terraform-azurerm-aks-config,hmcts-cpp-module-terraform-azurerm-aks-config.tar.gz
ministryofjustice/cloud-platform-environments,ministryofjustice-cloud-platform-environments.tar.gz
lowRISC/sonata-software,lowRISC-sonata-software.tar.gz
onosproject/onos-helm-charts,onosproject-onos-helm-charts.tar.gz
hashicorp/terraform-sentinel-policies,hashicorp-terraform-sentinel-policies.tar.gz
cloudposse/terraform-spacelift-cloud-infrastructure-automation,cloudposse-terraform-spacelift-cloud-infrastructure-automation.tar.gz
BigKAA/youtube,BigKAA-youtube.tar.gz
nirmata/kyverno-policies,nirmata-kyverno-policies.tar.gz
lenaxia/home-ops-prod,lenaxia-home-ops-prod.tar.gz
elastic/cloudbeat,elastic-cloudbeat.tar.gz
intel/policy-library-intel-aws,intel-policy-library-intel-aws.tar.gz
kyverno/kyverno-json,kyverno-kyverno-json.tar.gz
veraison/services,veraison-services.tar.gz
mrwulf/home-cluster,mrwulf-home-cluster.tar.gz
jamasten/Azure,jamasten-Azure.tar.gz
openshift/sandboxed-containers-operator,openshift-sandboxed-containers-operator.tar.gz
nathanmcnulty/nathanmcnulty,nathanmcnulty-nathanmcnulty.tar.gz
NewbMiao/opa-koans,NewbMiao-opa-koans.tar.gz
c0c0n3/kitt4sme.live,c0c0n3-kitt4sme.live.tar.gz
open-telemetry/semantic-conventions,open-telemetry-semantic-conventions.tar.gz
monkslc/hyperpolyglot,monkslc-hyperpolyglot.tar.gz
PipelineAI/pipeline,PipelineAI-pipeline.tar.gz
Azure/enterprise-azure-policy-as-code,Azure-enterprise-azure-policy-as-code.tar.gz
nirmata/kyverno-charts,nirmata-kyverno-charts.tar.gz
jpetazzo/container.training,jpetazzo-container.training.tar.gz
StatCan/gatekeeper-policies,StatCan-gatekeeper-policies.tar.gz
snoopy82481/home_cluster,snoopy82481-home_cluster.tar.gz
controlplaneio/simulator,controlplaneio-simulator.tar.gz
aws/aws-eks-best-practices,aws-aws-eks-best-practices.tar.gz
chaijunkin/home-ops,chaijunkin-home-ops.tar.gz
teutonet/teutonet-helm-charts,teutonet-teutonet-helm-charts.tar.gz
MAIF/wasmo,MAIF-wasmo.tar.gz
dotfilesh/ops,dotfilesh-ops.tar.gz
abuxton/tfx-vmp,abuxton-tfx-vmp.tar.gz
n4vysh/n4vysh.dev,n4vysh-n4vysh.dev.tar.gz
elastic/csp-security-policies,elastic-csp-security-policies.tar.gz
rond-authz/rond,rond-authz-rond.tar.gz
GoogleCloudPlatform/professional-services,GoogleCloudPlatform-professional-services.tar.gz
apheon-terra/01_k3s_ops,apheon-terra-01_k3s_ops.tar.gz
litmuschaos/litmus,litmuschaos-litmus.tar.gz
nirmata/kyverno-aws-adapter,nirmata-kyverno-aws-adapter.tar.gz
rootsongjc/cloud-native-library,rootsongjc-cloud-native-library.tar.gz
lsst-it/k8s-cookbook,lsst-it-k8s-cookbook.tar.gz
hongbo-miao/hongbomiao.com,hongbo-miao-hongbomiao.com.tar.gz
UNINETTSigma2/helm-charts,UNINETTSigma2-helm-charts.tar.gz
Azure/AzureDefender-K8S-InClusterDefense,Azure-AzureDefender-K8S-InClusterDefense.tar.gz
Devopsmcpatral/Devops,Devopsmcpatral-Devops.tar.gz
harness/developer-hub,harness-developer-hub.tar.gz
